act Pair,Accuracy Subset1 Only,Accuracy Subset2 Only,Improvement (Subset2 vs Subset1) No Const,Number of Test Examples,Number of Train Examples
Johnny Mathis vs Amon Amarth,0.3333333333333333,1.0,0.6666666666666667,3,12
Johnny Mathis vs Ryan Beatty,0.3333333333333333,1.0,0.6666666666666667,6,23
Johnny Mathis vs Slowdive,0.3333333333333333,1.0,0.6666666666666667,6,23
Johnny Mathis vs Staind,0.0,0.6,0.6,5,16
Parmalee vs VNV Nation,0.14285714285714285,0.7142857142857143,0.5714285714285714,7,25
Eric Johnson vs Third Eye Blind,0.42857142857142855,1.0,0.5714285714285714,7,25
Eric Johnson vs Meshell Ndegeocello,0.42857142857142855,1.0,0.5714285714285714,7,25
Parmalee vs Ryan Beatty,0.2857142857142857,0.8571428571428571,0.5714285714285714,7,26
Johnny Mathis vs Jimmy Eat World,0.3333333333333333,0.8888888888888888,0.5555555555555556,9,35
Salebarbes vs Real Estate,0.5,1.0,0.5,2,6
Salebarbes vs Dorian Electra,0.5,1.0,0.5,2,8
Boyz II Men vs Rodrigo Y Gabriela,0.3333333333333333,0.8333333333333334,0.5,6,20
Salebarbes vs Matt and Kim,0.3333333333333333,0.8333333333333334,0.5,6,23
Salebarbes vs Flipturn,0.5,1.0,0.5,2,8
Salebarbes vs Madeleine Peyroux,0.5,1.0,0.5,2,7
Johnny Mathis vs Games We Play,0.5,1.0,0.5,4,16
Johnny Mathis vs Indigo De Souza,0.5,1.0,0.5,6,20
El Alfa vs Becky G,0.3333333333333333,0.8333333333333334,0.5,6,24
Salebarbes vs Leonid & Friends,0.5,1.0,0.5,2,4
Salebarbes vs STRFKR,0.5,1.0,0.5,2,7
Boyz II Men vs LSDREAM,0.4,0.9,0.5,10,38
Parmalee vs Igorrr,0.5,1.0,0.5,8,32
Johnny Mathis vs Lainey Wilson,0.5,1.0,0.5,6,23
Zach Williams vs Gary Allan,0.5,1.0,0.5,10,37
Johnny Mathis vs Drake White,0.3333333333333333,0.8333333333333334,0.5,6,23
Parmalee vs Nicotine Dolls,0.16666666666666666,0.6666666666666666,0.5,6,24
Johnny Mathis vs Zeds Dead,0.3333333333333333,0.8333333333333334,0.5,6,24
Parmalee vs Dope Lemon,0.125,0.625,0.5,8,29
Parmalee vs Mariah the Scientist,0.25,0.75,0.5,4,14
Zach Williams vs Dylan Matthew,0.45454545454545453,0.9090909090909091,0.45454545454545453,11,41
Intocable vs Anthony Jeselnik,0.5555555555555556,1.0,0.4444444444444444,9,33
Zach Williams vs Smokey Robinson,0.5555555555555556,1.0,0.4444444444444444,9,36
Zach Williams vs Los Angeles Azules,0.5555555555555556,1.0,0.4444444444444444,9,36
Johnny Mathis vs Wednesday 13,0.5555555555555556,1.0,0.4444444444444444,9,33
The Avett Brothers vs Eladio Carrion,0.2857142857142857,0.7142857142857143,0.4285714285714286,7,28
Eric Johnson vs Staind,0.5714285714285714,1.0,0.4285714285714286,7,26
Johnny Mathis vs Andy Summers,0.5714285714285714,1.0,0.4285714285714286,7,27
Lady A vs Darlingside,0.5714285714285714,1.0,0.4285714285714286,7,28
Parmalee vs ericdoa,0.5714285714285714,1.0,0.4285714285714286,7,25
Lady A vs Indigo De Souza,0.5714285714285714,1.0,0.4285714285714286,7,26
Hardy vs Tim McGraw,0.5714285714285714,1.0,0.4285714285714286,7,26
Johnny Mathis vs One Night of Queen,0.2857142857142857,0.7142857142857143,0.4285714285714286,7,25
Collective Soul vs Ryan Adams,0.2857142857142857,0.7142857142857143,0.4285714285714286,7,24
Boyz II Men vs Crankdat,0.5714285714285714,1.0,0.4285714285714286,7,27
Collective Soul vs Paul Anka,0.14285714285714285,0.5714285714285714,0.42857142857142855,7,25
Johnny Mathis vs Bowling For Soup,0.42857142857142855,0.8571428571428571,0.42857142857142855,7,28
Johnny Mathis vs Dinosaur Jr.,0.42857142857142855,0.8571428571428571,0.42857142857142855,7,28
Parmalee vs Silverstein,0.42857142857142855,0.8571428571428571,0.42857142857142855,7,27
Lee Brice vs Ruben Studdard,0.3333333333333333,0.75,0.4166666666666667,12,46
Zach Williams vs Black Violin,0.4166666666666667,0.8333333333333334,0.4166666666666667,12,46
Matchbox Twenty vs Guns N' Roses,0.5,0.9166666666666666,0.41666666666666663,12,46
Johnny Mathis vs Beth Hart,0.4,0.8,0.4,5,17
Johnny Mathis vs Dayseeker,0.6,1.0,0.4,5,19
Lee Brice vs Slow Pulp,0.5,0.9,0.4,10,39
Zach Williams vs Mushroomhead,0.4,0.8,0.4,10,39
El Alfa vs The Hives,0.4,0.8,0.4,5,18
Little River Band vs Cold War Kids,0.4,0.8,0.4,10,40
Johnny Mathis vs Mahalia,0.4,0.8,0.4,5,18
Little River Band vs The Avett Brothers,0.5,0.9,0.4,10,40
Lady A vs Ne Obliviscaris,0.5,0.9,0.4,10,37
The Avett Brothers vs Janelle Monae,0.4,0.8,0.4,10,40
Johnny Mathis vs The Doo Wop Project,0.6,1.0,0.4,5,18
Parmalee vs Keyshia Cole,0.4,0.8,0.4,5,16
Johnny Mathis vs Dan + Shay,0.4,0.8,0.4,5,20
Johnny Mathis vs Saint Motel,0.4,0.8,0.4,5,19
Zach Williams vs Del Water Gap,0.38461538461538464,0.7692307692307693,0.38461538461538464,13,50
Parmalee vs Angel Olsen,0.5,0.875,0.375,8,30
Boyz II Men vs Faye Webster,0.5,0.875,0.375,8,31
Collective Soul vs Wayne Newton,0.5,0.875,0.375,8,30
Johnny Mathis vs Veeze,0.625,1.0,0.375,8,29
Johnny Mathis vs Citizen,0.625,1.0,0.375,8,32
Lee Brice vs Michael W. Smith,0.625,1.0,0.375,8,28
Parmalee vs Dogs In A Pile,0.375,0.75,0.375,8,31
Collective Soul vs Samara Joy,0.125,0.5,0.375,8,30
Eric Johnson vs Josh Ritter & The Royal City Band,0.375,0.75,0.375,8,30
Parmalee vs Yussef Dayes,0.625,1.0,0.375,8,30
Parmalee vs JMSN,0.5,0.875,0.375,8,29
Parmalee vs Eric Bellinger,0.5,0.875,0.375,8,31
Eric Johnson vs Sampha,0.5,0.875,0.375,8,30
Johnny Mathis vs Rawayana,0.375,0.75,0.375,8,31
Clint Black vs Extreme,0.45454545454545453,0.8181818181818182,0.3636363636363637,11,44
Eric Johnson vs Hobo Johnson,0.45454545454545453,0.8181818181818182,0.3636363636363637,11,44
Little River Band vs Ne-Yo,0.5454545454545454,0.9090909090909091,0.36363636363636365,11,41
Zach Williams vs The Aces,0.36363636363636365,0.7272727272727273,0.36363636363636365,11,41
Little River Band vs The Cat Empire,0.6363636363636364,1.0,0.36363636363636365,11,44
Little River Band vs The Kills,0.36363636363636365,0.7272727272727273,0.36363636363636365,11,41
Johnny Mathis vs Geese,0.6666666666666666,1.0,0.33333333333333337,6,24
El Alfa vs Nicki Minaj,0.6666666666666666,1.0,0.33333333333333337,3,8
Intocable vs Veeze,0.6666666666666666,1.0,0.33333333333333337,12,45
Parmalee vs Josh Turner,0.2222222222222222,0.5555555555555556,0.33333333333333337,9,34
El Alfa vs Coheed and Cambria,0.6666666666666666,1.0,0.33333333333333337,6,24
Luke Combs vs Sam Barber,0.6666666666666666,1.0,0.33333333333333337,3,10
Zach Williams vs Alvvays,0.4444444444444444,0.7777777777777778,0.33333333333333337,9,32
Lee Brice vs The Righteous Brothers,0.4444444444444444,0.7777777777777778,0.33333333333333337,9,35
Boyz II Men vs My Life With The Thrill Kill Kult,0.6666666666666666,1.0,0.33333333333333337,6,23
The Avett Brothers vs Stephen Sanchez,0.5,0.8333333333333334,0.33333333333333337,12,48
Clint Black vs Yo La Tengo,0.5,0.8333333333333334,0.33333333333333337,12,48
Zach Williams vs My Life With The Thrill Kill Kult,0.6666666666666666,1.0,0.33333333333333337,9,36
El Alfa vs Lil Uzi Vert,0.5,0.8333333333333334,0.33333333333333337,6,23
Luke Combs vs Oliver Anthony,0.6666666666666666,1.0,0.33333333333333337,3,9
Rod Stewart vs Macklemore,0.6666666666666666,1.0,0.33333333333333337,9,36
Lee Brice vs Big Data,0.4444444444444444,0.7777777777777778,0.33333333333333337,9,35
Lady A vs Mahalia,0.6666666666666666,1.0,0.33333333333333337,6,24
Eric Johnson vs Becky G,0.6666666666666666,1.0,0.33333333333333337,9,36
Lady A vs Torres,0.6666666666666666,1.0,0.33333333333333337,6,22
The Avett Brothers vs Tate McRae,0.6666666666666666,1.0,0.33333333333333337,9,33
Parmalee vs Protest The Hero,0.4444444444444444,0.7777777777777778,0.33333333333333337,9,32
Lady A vs The Doo Wop Project,0.6666666666666666,1.0,0.33333333333333337,6,24
Parmalee vs The Beaches,0.4444444444444444,0.7777777777777778,0.33333333333333337,9,33
Johnny Mathis vs Quicksand,0.6666666666666666,1.0,0.33333333333333337,6,20
El Alfa vs Roy Woods,0.6666666666666666,1.0,0.33333333333333337,6,24
Eric Johnson vs The Moss,0.4444444444444444,0.7777777777777778,0.33333333333333337,9,35
Parmalee vs Wyatt Flores,0.2222222222222222,0.5555555555555556,0.33333333333333337,9,36
El Alfa vs Jake Shimabukuro,0.6666666666666666,1.0,0.33333333333333337,6,23
Parmalee vs Veeze,0.4444444444444444,0.7777777777777778,0.33333333333333337,9,32
Zach Williams vs Hannah Wicklund,0.6666666666666666,1.0,0.33333333333333337,9,35
Clint Black vs Gilberto Santa Rosa,0.4444444444444444,0.7777777777777778,0.33333333333333337,9,35
Collective Soul vs King Krule,0.4444444444444444,0.7777777777777778,0.33333333333333337,9,33
Luke Combs vs Madeleine Peyroux,0.6666666666666666,1.0,0.33333333333333337,3,9
Country Thunder vs Zach Bryan,0.6666666666666666,1.0,0.33333333333333337,3,12
Lady A vs Uada,0.6666666666666666,1.0,0.33333333333333337,6,23
The Avett Brothers vs Jessie Murph,0.5,0.8333333333333334,0.33333333333333337,12,45
Johnny Mathis vs Sampha,0.5,0.8333333333333334,0.33333333333333337,6,20
Eric Johnson vs Sam Barber,0.5,0.8333333333333334,0.33333333333333337,6,24
Johnny Mathis vs ericdoa,0.5,0.8333333333333334,0.33333333333333337,6,22
Salebarbes vs Royal Blood,0.6666666666666666,1.0,0.33333333333333337,6,24
Matchbox Twenty vs Carin Leon,0.5,0.8333333333333334,0.33333333333333337,12,45
El Alfa vs Madeleine Peyroux,0.6666666666666666,1.0,0.33333333333333337,3,11
El Alfa vs Ryan Beatty,0.6666666666666666,1.0,0.33333333333333337,6,20
Luke Combs vs Ministry,0.6666666666666666,1.0,0.33333333333333337,3,8
El Alfa vs Maoli,0.3333333333333333,0.6666666666666666,0.3333333333333333,3,11
Salebarbes vs Sir Chloe,0.0,0.3333333333333333,0.3333333333333333,3,10
Johnny Mathis vs The SteelDrivers,0.3333333333333333,0.6666666666666666,0.3333333333333333,6,24
Collective Soul vs Dustin Lynch,0.3333333333333333,0.6666666666666666,0.3333333333333333,6,22
El Alfa vs Janet Jackson,0.3333333333333333,0.6666666666666666,0.3333333333333333,3,11
Boyz II Men vs Dan + Shay,0.3333333333333333,0.6666666666666666,0.3333333333333333,6,23
Johnny Mathis vs Tegan and Sara,0.3333333333333333,0.6666666666666666,0.3333333333333333,6,22
Zach Williams vs Emo Orchestra,0.5833333333333334,0.9166666666666666,0.33333333333333326,12,45
Parmalee vs The Lone Bellow,0.5555555555555556,0.8888888888888888,0.33333333333333326,9,32
Lee Brice vs BoyWithUke,0.5555555555555556,0.8888888888888888,0.33333333333333326,9,36
Eric Johnson vs Silversun Pickups,0.5555555555555556,0.8888888888888888,0.33333333333333326,9,34
Lee Brice vs Renee Rapp,0.5833333333333334,0.9166666666666666,0.33333333333333326,12,46
Parmalee vs G Flip,0.5555555555555556,0.8888888888888888,0.33333333333333326,9,34
Collective Soul vs Ty Dolla $ign,0.5555555555555556,0.8888888888888888,0.33333333333333326,9,32
The Avett Brothers vs Veeze,0.5555555555555556,0.8888888888888888,0.33333333333333326,9,35
Eric Johnson vs Chat Pile,0.5555555555555556,0.8888888888888888,0.33333333333333326,9,35
Collective Soul vs Soul Glo,0.5555555555555556,0.8888888888888888,0.33333333333333326,9,33
Eric Johnson vs Stayin' Alive (Tribute to The Bee Gees),0.5555555555555556,0.8888888888888888,0.33333333333333326,9,34
The Avett Brothers vs In This Moment,0.5555555555555556,0.8888888888888888,0.33333333333333326,9,32
Clint Black vs Darius Rucker,0.5833333333333334,0.9166666666666666,0.33333333333333326,12,46
Parmalee vs Attila,0.5555555555555556,0.8888888888888888,0.33333333333333326,9,34
Zach Williams vs The Japanese House,0.3076923076923077,0.6153846153846154,0.3076923076923077,13,50
Little River Band vs Peter Frampton,0.6923076923076923,1.0,0.3076923076923077,13,50
Little River Band vs The Oak Ridge Boys,0.3076923076923077,0.6153846153846154,0.3076923076923077,13,49
Zach Williams vs We Came As Romans,0.6153846153846154,0.9230769230769231,0.3076923076923077,13,49
Hardy vs Carin Leon,0.5,0.8,0.30000000000000004,10,39
Johnny Mathis vs Travis Tritt,0.6,0.9,0.30000000000000004,10,36
Parmalee vs Mammoth WVH,0.5,0.8,0.30000000000000004,10,38
Boyz II Men vs The Elovaters,0.6,0.9,0.30000000000000004,10,38
Eric Johnson vs Cooper Alan,0.5,0.8,0.30000000000000004,10,37
The Avett Brothers vs Polyphia,0.6,0.9,0.30000000000000004,10,37
The Avett Brothers vs Yes,0.6,0.9,0.30000000000000004,10,38
Zach Williams vs Ryan Beatty,0.6,0.9,0.30000000000000004,10,39
The Avett Brothers vs Little River Band,0.6,0.9,0.30000000000000004,10,40
Johnny Mathis vs Alexandra Kay,0.7,1.0,0.30000000000000004,10,36
Boyz II Men vs George Thorogood & The Destroyers,0.7,1.0,0.30000000000000004,10,37
Zach Williams vs The National Parks,0.6,0.9,0.30000000000000004,10,39
Lee Brice vs Allison Russell,0.5,0.8,0.30000000000000004,10,38
Parmalee vs Charlotte Cardin,0.6,0.9,0.30000000000000004,10,38
Collective Soul vs Youth Lagoon,0.7,1.0,0.30000000000000004,10,40
Zach Williams vs Geese,0.6,0.9,0.30000000000000004,10,40
Eric Johnson vs This Wild Life,0.4,0.7,0.29999999999999993,10,37
Johnny Mathis vs Ashnikko,0.4,0.7,0.29999999999999993,10,39
Eric Johnson vs Half Moon Run,0.4,0.7,0.29999999999999993,10,40
Banda MS vs The Hives,0.42857142857142855,0.7142857142857143,0.28571428571428575,7,27
The Avett Brothers vs Porno for Pyros,0.42857142857142855,0.7142857142857143,0.28571428571428575,7,24
Johnny Mathis vs G Jones,0.42857142857142855,0.7142857142857143,0.28571428571428575,7,26
Johnny Mathis vs LANY,0.42857142857142855,0.7142857142857143,0.28571428571428575,7,24
Parmalee vs The SteelDrivers,0.42857142857142855,0.7142857142857143,0.28571428571428575,7,27
Hardy vs Luke Combs,0.42857142857142855,0.7142857142857143,0.28571428571428575,7,25
Banda MS vs Keith Sweat,0.42857142857142855,0.7142857142857143,0.28571428571428575,7,28
Luke Combs vs Hardy,0.42857142857142855,0.7142857142857143,0.28571428571428575,7,25
Collective Soul vs Maddie Zahm,0.42857142857142855,0.7142857142857143,0.28571428571428575,7,27
Eric Johnson vs The Doo Wop Project,0.42857142857142855,0.7142857142857143,0.28571428571428575,7,28
The Avett Brothers vs Celtic Woman,0.42857142857142855,0.7142857142857143,0.28571428571428575,7,28
Banda MS vs Juanes,0.42857142857142855,0.7142857142857143,0.28571428571428575,7,25
Parmalee vs Maddie Zahm,0.42857142857142855,0.7142857142857143,0.28571428571428575,7,24
Johnny Mathis vs Slow Pulp,0.7142857142857143,1.0,0.2857142857142857,7,28
The Avett Brothers vs Bruce Hornsby,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,27
Collective Soul vs Smokey Robinson,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,25
Rod Stewart vs Two Door Cinema Club,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,26
Hardy vs Bailey Zimmerman,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,27
El Alfa vs Darius Rucker,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,26
Parmalee vs Big Data,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,27
Johnny Mathis vs The Mission UK,0.7142857142857143,1.0,0.2857142857142857,7,26
Lady A vs ericdoa,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,28
Parmalee vs Municipal Waste,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,24
Parmalee vs Go Ahead And Die,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,28
Johnny Mathis vs Steve Hofstetter,0.7142857142857143,1.0,0.2857142857142857,7,24
Johnny Mathis vs Yussef Dayes,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,27
Country Thunder vs Ringo Starr & His All Starr Band,0.2857142857142857,0.5714285714285714,0.2857142857142857,7,27
Johnny Mathis vs Jackson Dean,0.7142857142857143,1.0,0.2857142857142857,7,28
Parmalee vs Claudio Simonetti's Goblin,0.7142857142857143,1.0,0.2857142857142857,7,28
Boyz II Men vs Keith Sweat,0.2857142857142857,0.5714285714285714,0.2857142857142857,7,24
Collective Soul vs Boney M.,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,28
Johnny Mathis vs August Burns Red,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,28
Johnny Mathis vs Charles Wesley Godwin,0.7142857142857143,1.0,0.2857142857142857,7,28
Parmalee vs Keith Sweat,0.2857142857142857,0.5714285714285714,0.2857142857142857,7,24
El Alfa vs Kesha,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,28
Lady A vs Thievery Corporation,0.7142857142857143,1.0,0.2857142857142857,7,24
Johnny Mathis vs BoyWithUke,0.7142857142857143,1.0,0.2857142857142857,7,24
Luke Combs vs Polyphia,0.7142857142857143,1.0,0.2857142857142857,7,28
Johnny Mathis vs This Wild Life,0.7142857142857143,1.0,0.2857142857142857,7,28
Salebarbes vs Wednesday 13,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,27
Parmalee vs A Flock of Seagulls,0.2857142857142857,0.5714285714285714,0.2857142857142857,7,26
Lee Brice vs Alvvays,0.7142857142857143,1.0,0.2857142857142857,7,28
Johnny Mathis vs Yam Haus,0.7142857142857143,1.0,0.2857142857142857,7,28
Johnny Mathis vs Dylan Matthew,0.7142857142857143,1.0,0.2857142857142857,7,25
Lady A vs Reverend Horton Heat,0.7142857142857143,1.0,0.2857142857142857,7,26
Boyz II Men vs Ocean Alley,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,27
Boyz II Men vs Municipal Waste,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,24
Johnny Mathis vs Blonde Redhead,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,28
Boyz II Men vs Silversun Pickups,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,28
Boyz II Men vs Violent Femmes,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,28
Johnny Mathis vs The Midnight,0.7142857142857143,1.0,0.2857142857142857,7,24
Parmalee vs Amyl and The Sniffers,0.2857142857142857,0.5714285714285714,0.2857142857142857,7,28
Parmalee vs Nothing But Thieves,0.2857142857142857,0.5714285714285714,0.2857142857142857,7,27
Johnny Mathis vs Stick To Your Guns,0.7142857142857143,1.0,0.2857142857142857,7,24
Johnny Mathis vs The Teskey Brothers,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,27
Johnny Mathis vs Casting Crowns,0.7142857142857143,1.0,0.2857142857142857,7,28
Johnny Mathis vs Ryan Adams & The Cardinals,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,28
Collective Soul vs Gary Allan,0.7142857142857143,1.0,0.2857142857142857,7,27
Lady A vs Sampha,0.2857142857142857,0.5714285714285714,0.2857142857142857,7,26
Collective Soul vs Herman's Hermits,0.7142857142857143,1.0,0.2857142857142857,7,24
Parmalee vs The Paper Kites,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,25
Parmalee vs The Righteous Brothers,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,27
Parmalee vs Geese,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,27
The Avett Brothers vs Herman's Hermits,0.7142857142857143,1.0,0.2857142857142857,7,24
Zach Williams vs Baroness,0.5,0.7857142857142857,0.2857142857142857,14,54
Boyz II Men vs Cole Swindell,0.2857142857142857,0.5714285714285714,0.2857142857142857,7,24
Johnny Mathis vs Brent Cobb,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,28
Johnny Mathis vs Gaelic Storm,0.7142857142857143,1.0,0.2857142857142857,7,28
Zach Williams vs Killer Queen - A Tribute to Queen,0.5,0.7857142857142857,0.2857142857142857,14,54
Eric Johnson vs Justin Quiles,0.7142857142857143,1.0,0.2857142857142857,7,26
Collective Soul vs Arrival From Sweden: The Music of ABBA,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,27
Country Thunder vs Myke Towers,0.7142857142857143,1.0,0.2857142857142857,7,27
Little River Band vs Casting Crowns,0.5454545454545454,0.8181818181818182,0.2727272727272728,11,41
Lee Brice vs Noah Cyrus,0.5454545454545454,0.8181818181818182,0.2727272727272728,11,40
Lee Brice vs Three Days Grace,0.5454545454545454,0.8181818181818182,0.2727272727272728,11,41
Banda MS vs Diana Krall,0.5454545454545454,0.8181818181818182,0.2727272727272728,11,43
Intocable vs Violent Femmes,0.5454545454545454,0.8181818181818182,0.2727272727272728,11,40
Zach Williams vs JMSN,0.5454545454545454,0.8181818181818182,0.2727272727272728,11,42
Clint Black vs Brothers Osborne,0.5454545454545454,0.8181818181818182,0.2727272727272728,11,41
Lee Brice vs Pixies,0.5454545454545454,0.8181818181818182,0.2727272727272728,11,42
Zach Williams vs John Waite,0.5454545454545454,0.8181818181818182,0.2727272727272728,11,40
Zach Williams vs Stick To Your Guns,0.45454545454545453,0.7272727272727273,0.27272727272727276,11,40
Lee Brice vs Briston Maroney,0.45454545454545453,0.7272727272727273,0.27272727272727276,11,42
Collective Soul vs Big Head Todd & The Monsters,0.45454545454545453,0.7272727272727273,0.27272727272727276,11,40
Zach Williams vs The Mission UK,0.45454545454545453,0.7272727272727273,0.27272727272727276,11,42
Zach Williams vs A R I Z O N A,0.45454545454545453,0.7272727272727273,0.27272727272727276,11,42
Lee Brice vs The All-American Rejects,0.6363636363636364,0.9090909090909091,0.2727272727272727,11,44
Zach Williams vs Wayne Newton,0.6363636363636364,0.9090909090909091,0.2727272727272727,11,40
Lady A vs The Wonder Years,0.6363636363636364,0.9090909090909091,0.2727272727272727,11,42
Boyz II Men vs Ashnikko,0.6363636363636364,0.9090909090909091,0.2727272727272727,11,42
Little River Band vs Nightly,0.6363636363636364,0.9090909090909091,0.2727272727272727,11,40
Intocable vs Cannons,0.7272727272727273,1.0,0.2727272727272727,11,44
Little River Band vs Riley Green,0.36363636363636365,0.6363636363636364,0.2727272727272727,11,44
Lady A vs Jimmy Eat World,0.7272727272727273,1.0,0.2727272727272727,11,40
Clint Black vs Lotus,0.7272727272727273,1.0,0.2727272727272727,11,42
Lady A vs Kidd G,0.6363636363636364,0.9090909090909091,0.2727272727272727,11,43
Little River Band vs Fantasia,0.7272727272727273,1.0,0.2727272727272727,11,40
Zach Williams vs Generationals,0.7272727272727273,1.0,0.2727272727272727,11,42
Zach Williams vs A Boogie Wit Da Hoodie,0.6363636363636364,0.9090909090909091,0.2727272727272727,11,42
Lady A vs Daniel Caesar,0.36363636363636365,0.6363636363636364,0.2727272727272727,11,42
Lee Brice vs Crosses,0.6363636363636364,0.9090909090909091,0.2727272727272727,11,41
Zach Williams vs Blues Traveler,0.6,0.8666666666666667,0.2666666666666667,15,57
Lee Brice vs Lindsey Stirling,0.5333333333333333,0.8,0.2666666666666667,15,59
Clint Black vs Bad Religion,0.3333333333333333,0.5833333333333334,0.25000000000000006,12,45
Johnny Mathis vs Yo La Tengo,0.75,1.0,0.25,8,30
Parmalee vs Son Volt,0.5,0.75,0.25,8,32
Lady A vs Lotus,0.625,0.875,0.25,8,30
Lady A vs Lainey Wilson,0.375,0.625,0.25,8,28
Lady A vs Mushroomhead,0.75,1.0,0.25,8,28
Luke Combs vs Uada,0.75,1.0,0.25,4,13
Eric Johnson vs Darlingside,0.375,0.625,0.25,8,32
The Avett Brothers vs Andrew Bird,0.625,0.875,0.25,8,30
Collective Soul vs Ocean Alley,0.75,1.0,0.25,8,29
Matchbox Twenty vs Lil Baby,0.75,1.0,0.25,12,45
Parmalee vs Black Flag,0.375,0.625,0.25,8,30
Boyz II Men vs Yussef Dayes,0.625,0.875,0.25,8,30
Johnny Mathis vs The Beaches,0.5,0.75,0.25,8,30
Parmalee vs Yonder Mountain String Band,0.25,0.5,0.25,8,30
Johnny Mathis vs Noah Cyrus,0.75,1.0,0.25,8,29
Lee Brice vs Priscilla Block,0.75,1.0,0.25,8,31
Johnny Mathis vs Almost Queen,0.75,1.0,0.25,8,29
Parmalee vs Phil Wickham,0.125,0.375,0.25,8,30
"Johnny Mathis vs nothing,nowhere.",0.75,1.0,0.25,8,29
Luke Combs vs The Prize Fighter Inferno,0.75,1.0,0.25,4,14
Eric Johnson vs Russell Howard,0.75,1.0,0.25,8,30
The Avett Brothers vs A Boogie Wit Da Hoodie,0.75,1.0,0.25,8,32
Collective Soul vs Drake White,0.75,1.0,0.25,8,28
Lady A vs Dylan Matthew,0.625,0.875,0.25,8,31
Eric Johnson vs Aidan Bissett,0.375,0.625,0.25,8,28
Parmalee vs Meshuggah,0.625,0.875,0.25,8,28
Boyz II Men vs Goose,0.5,0.75,0.25,8,32
Parmalee vs Slow Pulp,0.625,0.875,0.25,8,31
Lee Brice vs Beth Hart,0.75,1.0,0.25,8,28
Lady A vs Geese,0.625,0.875,0.25,8,29
Salebarbes vs My Life With The Thrill Kill Kult,0.5,0.75,0.25,4,13
Lady A vs The Moss,0.625,0.875,0.25,8,31
Johnny Mathis vs Barns Courtney,0.75,1.0,0.25,8,29
Luke Combs vs The Ten Tenors,0.75,1.0,0.25,4,14
Johnny Mathis vs Matt and Kim,0.75,1.0,0.25,8,29
Collective Soul vs Snarky Puppy,0.5,0.75,0.25,8,29
Luke Combs vs Kane Brown,0.5,0.75,0.25,4,15
Salebarbes vs Reverend Horton Heat,0.5,0.75,0.25,4,14
Collective Soul vs Morgan Wade,0.75,1.0,0.25,8,30
Parmalee vs Victor Wooten,0.5,0.75,0.25,8,30
El Alfa vs Blake Shelton,0.5,0.75,0.25,4,13
Parmalee vs Charles Wesley Godwin,0.5,0.75,0.25,8,31
Johnny Mathis vs Patti LuPone,0.5,0.75,0.25,4,14
Parmalee vs IDK,0.375,0.625,0.25,8,30
El Alfa vs Indigo Girls,0.75,1.0,0.25,8,29
Lady A vs The Mission UK,0.625,0.875,0.25,8,32
Johnny Mathis vs Billy Raffoul,0.75,1.0,0.25,8,29
Clint Black vs Atmosphere,0.5,0.75,0.25,12,47
Parmalee vs King Krule,0.625,0.875,0.25,8,31
The Avett Brothers vs Slowdive,0.5,0.75,0.25,8,28
Lady A vs Botch,0.625,0.875,0.25,8,30
The Avett Brothers vs G. Love & Special Sauce,0.75,1.0,0.25,8,29
Collective Soul vs Flatland Cavalry,0.6666666666666666,0.9166666666666666,0.25,12,47
Johnny Mathis vs Sleater-Kinney,0.75,1.0,0.25,4,12
Parmalee vs King George,0.5,0.75,0.25,4,16
Collective Soul vs Clannad,0.375,0.625,0.25,8,29
Johnny Mathis vs King George,0.75,1.0,0.25,4,12
Boyz II Men vs JVKE,0.375,0.625,0.25,8,32
Clint Black vs Angel Olsen,0.5,0.75,0.25,12,44
Parmalee vs Neil Frances,0.625,0.875,0.25,8,28
Hardy vs Sampha,0.75,1.0,0.25,8,29
Parmalee vs Harms Way,0.25,0.5,0.25,8,29
Matchbox Twenty vs KISS,0.5833333333333334,0.8333333333333334,0.25,12,46
Johnny Mathis vs Stephen Marley,0.75,1.0,0.25,8,31
