act Pair,Accuracy Subset,Accuracy Subset + Const,Improvement Subset,Number of Test Examples,Number of Train Examples
Collective Soul vs Josiah & The Bonnevilles,0.3333333333333333,0.8333333333333334,0.5,6,20
Collective Soul vs Ledisi,0.6,1.0,0.4,5,17
Collective Soul vs Echo & The Bunnymen,0.6,1.0,0.4,5,16
Lee Brice vs Kim Petras,0.5,0.9,0.4,10,39
Lee Brice vs Nicotine Dolls,0.375,0.75,0.375,8,32
Lee Brice vs Herman's Hermits,0.5,0.875,0.375,8,30
Collective Soul vs The Mars Volta,0.25,0.625,0.375,8,31
The Avett Brothers vs Blake Shelton,0.5,0.8333333333333334,0.33333333333333337,6,21
Lee Brice vs Destin Conrad,0.4444444444444444,0.7777777777777778,0.33333333333333337,9,32
Lee Brice vs The Midnight,0.6666666666666666,1.0,0.33333333333333337,9,36
Collective Soul vs Taking Back Sunday,0.5,0.8333333333333334,0.33333333333333337,6,21
Lee Brice vs CloZee,0.4,0.7333333333333333,0.33333333333333326,15,57
Eric Johnson vs Clannad,0.5555555555555556,0.8888888888888888,0.33333333333333326,9,33
Collective Soul vs Soul Glo,0.5555555555555556,0.8888888888888888,0.33333333333333326,9,33
Matchbox Twenty vs NF - Nate Feuerstein,0.46153846153846156,0.7692307692307693,0.3076923076923077,13,50
Eric Johnson vs Peter Gabriel,0.7,1.0,0.30000000000000004,10,39
Collective Soul vs Herman's Hermits,0.7142857142857143,1.0,0.2857142857142857,7,24
Collective Soul vs Deap Vally,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,27
Eric Johnson vs Rick Springfield,0.5714285714285714,0.8571428571428571,0.2857142857142857,14,55
Collective Soul vs Reverend Horton Heat,0.7142857142857143,1.0,0.2857142857142857,7,26
Collective Soul vs Bone Thugs-N-Harmony,0.2857142857142857,0.5714285714285714,0.2857142857142857,7,24
The Avett Brothers vs Caifanes,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,24
Lee Brice vs Cory Wong,0.5454545454545454,0.8181818181818182,0.2727272727272728,11,44
Eric Johnson vs Youth Lagoon,0.45454545454545453,0.7272727272727273,0.27272727272727276,11,44
The Avett Brothers vs Laufey,0.6363636363636364,0.9090909090909091,0.2727272727272727,11,43
Collective Soul vs Explosions in the Sky,0.6363636363636364,0.9090909090909091,0.2727272727272727,11,43
Eric Johnson vs Trombone Shorty & Orleans Avenue,0.6363636363636364,0.9090909090909091,0.2727272727272727,11,43
Eric Johnson vs The Temptations,0.7272727272727273,1.0,0.2727272727272727,11,44
Lee Brice vs The Offspring,0.7272727272727273,1.0,0.2727272727272727,11,41
The Avett Brothers vs Paul Cauthen,0.7272727272727273,1.0,0.2727272727272727,11,44
Collective Soul vs Keller Williams,0.75,1.0,0.25,8,28
Eric Johnson vs Circle Jerks,0.75,1.0,0.25,8,30
Collective Soul vs Morgan Wade,0.75,1.0,0.25,8,30
Lee Brice vs Paul Anka,0.5,0.75,0.25,8,31
Lee Brice vs The Irish Tenors,0.25,0.5,0.25,8,31
Lee Brice vs MercyMe,0.75,1.0,0.25,12,44
Collective Soul vs Ricky Skaggs,0.5,0.75,0.25,8,29
The Avett Brothers vs Big Data,0.75,1.0,0.25,8,29
Collective Soul vs Aaron Lewis,0.5625,0.8125,0.25,16,64
Collective Soul vs Mudhoney,0.75,1.0,0.25,8,32
Collective Soul vs Darren Criss,0.25,0.5,0.25,8,31
The Avett Brothers vs Mudhoney,0.75,1.0,0.25,8,32
The Avett Brothers vs Ringo Starr & His All Starr Band,0.375,0.625,0.25,8,32
Eric Johnson vs Misery Signals,0.625,0.875,0.25,8,29
Eric Johnson vs Ty Segall,0.625,0.875,0.25,8,29
Collective Soul vs Marty Stuart,0.5,0.75,0.25,8,28
Collective Soul vs Charley Crockett,0.25,0.5,0.25,8,29
Collective Soul vs Samara Joy,0.25,0.5,0.25,8,30
Lee Brice vs Sylvan Esso,0.5,0.75,0.25,12,45
Eric Johnson vs Quicksand,0.625,0.875,0.25,8,30
Lee Brice vs Samantha Fish,0.5,0.75,0.25,12,45
The Avett Brothers vs Thrice,0.625,0.875,0.25,8,30
Collective Soul vs G. Love & Special Sauce,0.75,1.0,0.25,8,29
The Avett Brothers vs Old Dominion,0.46153846153846156,0.6923076923076923,0.23076923076923073,13,51
Lee Brice vs Ice Cube,0.3333333333333333,0.5555555555555556,0.22222222222222227,9,33
Eric Johnson vs Lake Street Dive,0.6666666666666666,0.8888888888888888,0.2222222222222222,9,32
The Avett Brothers vs The Band CAMINO,0.4444444444444444,0.6666666666666666,0.2222222222222222,9,36
Lee Brice vs Brothers Osborne,0.5555555555555556,0.7777777777777778,0.2222222222222222,9,35
Eric Johnson vs Zeds Dead,0.6666666666666666,0.8888888888888888,0.2222222222222222,9,33
Eric Johnson vs The Simon & Garfunkel Story,0.5555555555555556,0.7777777777777778,0.2222222222222222,9,33
Lee Brice vs Parmalee,0.7777777777777778,1.0,0.2222222222222222,9,35
Eric Johnson vs Jake Shimabukuro,0.4444444444444444,0.6666666666666666,0.2222222222222222,9,35
Eric Johnson vs Generationals,0.6666666666666666,0.8888888888888888,0.2222222222222222,9,36
Eric Johnson vs Big Something,0.5555555555555556,0.7777777777777778,0.2222222222222222,9,33
Collective Soul vs Wilco,0.4444444444444444,0.6666666666666666,0.2222222222222222,9,34
Collective Soul vs Billy Raffoul,0.7777777777777778,1.0,0.2222222222222222,9,35
The Avett Brothers vs Beck,0.6666666666666666,0.8888888888888888,0.2222222222222222,9,32
Matchbox Twenty vs Indigo De Souza,0.7777777777777778,1.0,0.2222222222222222,9,36
Lee Brice vs Jhayco,0.6666666666666666,0.8888888888888888,0.2222222222222222,9,32
Lee Brice vs The Gaslight Anthem,0.5555555555555556,0.7777777777777778,0.2222222222222222,9,34
Collective Soul vs 1964 The Tribute,0.7777777777777778,1.0,0.2222222222222222,9,32
Collective Soul vs TroyBoi,0.6666666666666666,0.8888888888888888,0.2222222222222222,9,33
Lee Brice vs Engelbert Humperdinck,0.5555555555555556,0.7777777777777778,0.2222222222222222,9,34
Eric Johnson vs Thundercat,0.7777777777777778,1.0,0.2222222222222222,9,35
Eric Johnson vs Becky G,0.7777777777777778,1.0,0.2222222222222222,9,36
Lee Brice vs Megan Moroney,0.6,0.8,0.20000000000000007,10,38
Lee Brice vs Run The Jewels,0.7,0.9,0.20000000000000007,10,36
Lee Brice vs Ryan Adams & The Cardinals,0.6,0.8,0.20000000000000007,10,39
Lee Brice vs The National,0.7,0.9,0.20000000000000007,10,36
The Avett Brothers vs Blue October,0.6,0.8,0.20000000000000007,15,57
The Avett Brothers vs Mary Chapin Carpenter,0.7,0.9,0.20000000000000007,10,40
The Avett Brothers vs Indigo Girls,0.6,0.8,0.20000000000000007,10,37
Collective Soul vs Alanis Morissette,0.6,0.8,0.20000000000000007,5,17
Lee Brice vs Bronco,0.6,0.8,0.20000000000000007,10,38
Collective Soul vs Real Estate,0.6,0.8,0.20000000000000007,5,18
Gov't Mule vs Goose,0.6,0.8,0.20000000000000007,15,58
Collective Soul vs TALK,0.6,0.8,0.20000000000000007,5,18
Collective Soul vs Rumours,0.6,0.8,0.20000000000000007,10,36
Lee Brice vs Movements,0.6,0.8,0.20000000000000007,10,38
Lee Brice vs Blonde Redhead,0.6,0.8,0.20000000000000007,10,39
Collective Soul vs Mitch Rowland,0.6,0.8,0.20000000000000007,5,18
Lee Brice vs Mr. Big,0.3,0.5,0.2,10,38
Lee Brice vs Darren Criss,0.2,0.4,0.2,10,36
Collective Soul vs Shinedown,0.8,1.0,0.19999999999999996,10,40
Collective Soul vs Dadi Freyr,0.8,1.0,0.19999999999999996,5,17
Lee Brice vs The Mission UK,0.5,0.7,0.19999999999999996,10,37
Eric Johnson vs Sam Smith,0.8,1.0,0.19999999999999996,10,37
Collective Soul vs Gus Dapperton,0.8,1.0,0.19999999999999996,10,38
The Avett Brothers vs Gus Dapperton,0.8,1.0,0.19999999999999996,10,38
Collective Soul vs Sylvan Esso,0.5,0.7,0.19999999999999996,10,40
Collective Soul vs Patti LuPone,0.8,1.0,0.19999999999999996,5,20
Collective Soul vs Mary Chapin Carpenter,0.4,0.6,0.19999999999999996,10,40
Collective Soul vs John Mellencamp,0.8,1.0,0.19999999999999996,5,18
Collective Soul vs The Japanese House,0.5,0.7,0.19999999999999996,10,40
Matchbox Twenty vs Queen Nation,0.8,1.0,0.19999999999999996,10,36
Collective Soul vs Oliver Anthony,0.8,1.0,0.19999999999999996,5,19
The Avett Brothers vs Mariah the Scientist,0.8,1.0,0.19999999999999996,5,16
Collective Soul vs Gladys Knight,0.5,0.7,0.19999999999999996,10,38
Eric Johnson vs Benise,0.4,0.6,0.19999999999999996,10,36
Eric Johnson vs Protest The Hero,0.4,0.6,0.19999999999999996,10,39
Collective Soul vs Maoli,0.8,1.0,0.19999999999999996,5,19
Collective Soul vs Zach Bryan,0.8,1.0,0.19999999999999996,5,16
The Avett Brothers vs Arlo Parks,0.8,1.0,0.19999999999999996,5,19
Lee Brice vs Rick Springfield,0.4666666666666667,0.6666666666666666,0.19999999999999996,15,56
Collective Soul vs Declan McKenna,0.5,0.7,0.19999999999999996,10,39
Collective Soul vs Sarah McLachlan,0.8,1.0,0.19999999999999996,5,16
Eric Johnson vs Neck Deep,0.8,1.0,0.19999999999999996,10,38
Collective Soul vs Steve Hackett,0.5,0.7,0.19999999999999996,10,39
Matchbox Twenty vs Luke Bryan,0.4,0.6,0.19999999999999996,15,59
Gov't Mule vs Pixies,0.6875,0.875,0.1875,16,60
Lee Brice vs Greensky Bluegrass,0.4375,0.625,0.1875,16,63
Gov't Mule vs Zac Brown Band,0.75,0.9375,0.1875,16,63
"Eric Johnson vs Slaughter Beach, Dog",0.6363636363636364,0.8181818181818182,0.18181818181818188,11,42
Matchbox Twenty vs Mana,0.6363636363636364,0.8181818181818182,0.18181818181818188,11,40
The Avett Brothers vs Mipso,0.6363636363636364,0.8181818181818182,0.18181818181818188,11,43
Eric Johnson vs The Maine,0.6363636363636364,0.8181818181818182,0.18181818181818188,11,40
The Avett Brothers vs Peter Frampton,0.5454545454545454,0.7272727272727273,0.18181818181818188,11,42
Lee Brice vs Stephen Marley,0.2727272727272727,0.45454545454545453,0.18181818181818182,11,42
Eric Johnson vs Gladys Knight,0.7272727272727273,0.9090909090909091,0.18181818181818177,11,42
Lee Brice vs Crosses,0.7272727272727273,0.9090909090909091,0.18181818181818177,11,41
Lee Brice vs The Tallest Man On Earth,0.7272727272727273,0.9090909090909091,0.18181818181818177,11,44
The Avett Brothers vs Baroness,0.7272727272727273,0.9090909090909091,0.18181818181818177,11,44
Lee Brice vs Boy George,0.8181818181818182,1.0,0.18181818181818177,11,43
Eric Johnson vs Less Than Jake,0.7272727272727273,0.9090909090909091,0.18181818181818177,11,41
Lee Brice vs Machine Head,0.8181818181818182,1.0,0.18181818181818177,11,43
Lee Brice vs Dragonforce,0.7272727272727273,0.9090909090909091,0.18181818181818177,11,40
Matchbox Twenty vs Elevation Worship,0.7272727272727273,0.9090909090909091,0.18181818181818177,11,40
Eric Johnson vs The Devil Wears Prada,0.7272727272727273,0.9090909090909091,0.18181818181818177,11,42
Matchbox Twenty vs Becky G,0.8181818181818182,1.0,0.18181818181818177,11,41
Collective Soul vs Bret Michaels,0.36363636363636365,0.5454545454545454,0.18181818181818177,11,44
The Avett Brothers vs The Brian Jonestown Massacre,0.7272727272727273,0.9090909090909091,0.18181818181818177,11,44
Matchbox Twenty vs Counting Crows,0.8235294117647058,1.0,0.17647058823529416,17,66
Gov't Mule vs Yellowcard,0.5294117647058824,0.7058823529411765,0.17647058823529416,17,64
Eric Johnson vs Theory Of A Deadman,0.6666666666666666,0.8333333333333334,0.16666666666666674,12,47
Collective Soul vs Alvvays,0.6666666666666666,0.8333333333333334,0.16666666666666674,6,22
Collective Soul vs Bruce Cockburn,0.6666666666666666,0.8333333333333334,0.16666666666666674,6,22
Lee Brice vs Mom Jeans.,0.6666666666666666,0.8333333333333334,0.16666666666666674,6,24
Collective Soul vs Better Lovers,0.6666666666666666,0.8333333333333334,0.16666666666666674,6,20
Collective Soul vs The Prize Fighter Inferno,0.6666666666666666,0.8333333333333334,0.16666666666666674,6,24
Lee Brice vs Diana Krall,0.6666666666666666,0.8333333333333334,0.16666666666666674,12,48
Lee Brice vs Ashley McBryde,0.6666666666666666,0.8333333333333334,0.16666666666666674,12,45
Eric Johnson vs Mom Jeans.,0.6666666666666666,0.8333333333333334,0.16666666666666674,6,22
Eric Johnson vs Celebrating David Bowie,0.6666666666666666,0.8333333333333334,0.16666666666666674,6,24
Gov't Mule vs Stephen Sanchez,0.6666666666666666,0.8333333333333334,0.16666666666666674,18,72
Matchbox Twenty vs Rod Stewart,0.4166666666666667,0.5833333333333334,0.16666666666666669,12,45
Collective Soul vs Martin Barre,0.3333333333333333,0.5,0.16666666666666669,6,22
Lee Brice vs Steve Hackett,0.4166666666666667,0.5833333333333334,0.16666666666666669,12,44
Eric Johnson vs Hairball,0.4166666666666667,0.5833333333333334,0.16666666666666669,12,46
Eric Johnson vs Bret Michaels,0.8333333333333334,1.0,0.16666666666666663,12,48
Collective Soul vs Gilberto Santa Rosa,0.5,0.6666666666666666,0.16666666666666663,6,23
The Avett Brothers vs Games We Play,0.8333333333333334,1.0,0.16666666666666663,6,21
Eric Johnson vs Kenny Wayne Shepherd,0.75,0.9166666666666666,0.16666666666666663,12,47
Lee Brice vs Shinedown,0.75,0.9166666666666666,0.16666666666666663,12,45
Lee Brice vs Danny Brown,0.8333333333333334,1.0,0.16666666666666663,6,22
Lee Brice vs Joe Satriani,0.8333333333333334,1.0,0.16666666666666663,6,23
Collective Soul vs The 502s,0.8333333333333334,1.0,0.16666666666666663,6,24
Eric Johnson vs Little Feat,0.75,0.9166666666666666,0.16666666666666663,12,46
Collective Soul vs The Ten Tenors,0.5,0.6666666666666666,0.16666666666666663,6,24
Lee Brice vs Band of Horses,0.5833333333333334,0.75,0.16666666666666663,12,48
Collective Soul vs Jose Gonzalez,0.5,0.6666666666666666,0.16666666666666663,6,22
Collective Soul vs Grupo Frontera,0.75,0.9166666666666666,0.16666666666666663,12,47
Eric Johnson vs Keyshia Cole,0.8333333333333334,1.0,0.16666666666666663,6,23
The Avett Brothers vs El Alfa,0.8333333333333334,1.0,0.16666666666666663,6,24
The Avett Brothers vs Tornillo,0.8333333333333334,1.0,0.16666666666666663,6,23
The Avett Brothers vs William Prince,0.8333333333333334,1.0,0.16666666666666663,6,21
Collective Soul vs Hiss Golden Messenger,0.75,0.9166666666666666,0.16666666666666663,12,44
Lee Brice vs My Morning Jacket,0.75,0.9166666666666666,0.16666666666666663,12,48
Lee Brice vs Mary Chapin Carpenter,0.5,0.6666666666666666,0.16666666666666663,12,45
Lee Brice vs Boys Like Girls,0.8333333333333334,1.0,0.16666666666666663,12,45
Collective Soul vs The 1975,0.75,0.9166666666666666,0.16666666666666663,12,45
Matchbox Twenty vs Carin Leon,0.5833333333333334,0.75,0.16666666666666663,12,45
The Avett Brothers vs Lollapalooza Aftershows,0.5833333333333334,0.75,0.16666666666666663,12,44
Eric Johnson vs Mt. Joy,0.8461538461538461,1.0,0.15384615384615385,13,50
Lee Brice vs Mipso,0.5384615384615384,0.6923076923076923,0.15384615384615385,13,48
Collective Soul vs Dropkick Murphys,0.6153846153846154,0.7692307692307693,0.15384615384615385,13,48
Eric Johnson vs Badfish: A Tribute To Sublime,0.5384615384615384,0.6923076923076923,0.15384615384615385,13,48
Eric Johnson vs Portugal. The Man,0.6923076923076923,0.8461538461538461,0.15384615384615385,13,49
Lee Brice vs Jon Pardi,0.7692307692307693,0.9230769230769231,0.15384615384615385,13,51
The Avett Brothers vs Dropkick Murphys,0.7692307692307693,0.9230769230769231,0.15384615384615385,13,48
Matchbox Twenty vs Avenged Sevenfold,0.6923076923076923,0.8461538461538461,0.15384615384615385,13,51
Eric Johnson vs Moon Taxi,0.5384615384615384,0.6923076923076923,0.15384615384615385,13,50
Eric Johnson vs Lollapalooza Aftershows,0.6923076923076923,0.8461538461538461,0.15384615384615385,13,48
Matchbox Twenty vs My Morning Jacket,0.6153846153846154,0.7692307692307693,0.15384615384615385,13,52
Eric Johnson vs Dogstar,0.8461538461538461,1.0,0.15384615384615385,13,49
Matchbox Twenty vs Romeo Santos,0.46153846153846156,0.6153846153846154,0.15384615384615385,13,49
Matchbox Twenty vs Shinedown,0.7692307692307693,0.9230769230769231,0.15384615384615385,13,49
Collective Soul vs Mannheim Steamroller,0.65,0.8,0.15000000000000002,20,78
Eric Johnson vs Lauren Daigle,0.7857142857142857,0.9285714285714286,0.1428571428571429,14,53
Collective Soul vs Caifanes,0.5714285714285714,0.7142857142857143,0.1428571428571429,7,24
Eric Johnson vs Michael W. Smith,0.8571428571428571,1.0,0.1428571428571429,7,27
Collective Soul vs Hannah Wicklund,0.8571428571428571,1.0,0.1428571428571429,7,24
Collective Soul vs Tegan and Sara,0.8571428571428571,1.0,0.1428571428571429,7,28
The Avett Brothers vs Andrew McMahon In The Wilderness,0.7857142857142857,0.9285714285714286,0.1428571428571429,14,52
Gov't Mule vs Yachtley Crew,0.7857142857142857,0.9285714285714286,0.1428571428571429,14,53
Eric Johnson vs El Alfa,0.8571428571428571,1.0,0.1428571428571429,7,28
Eric Johnson vs Static-X,0.7857142857142857,0.9285714285714286,0.1428571428571429,14,53
Collective Soul vs Chicago (Band),0.7857142857142857,0.9285714285714286,0.1428571428571429,14,56
Eric Johnson vs Jose Gonzalez,0.5714285714285714,0.7142857142857143,0.1428571428571429,7,26
Lee Brice vs Janet Jackson,0.8571428571428571,1.0,0.1428571428571429,7,24
Lee Brice vs Third Eye Blind,0.8571428571428571,1.0,0.1428571428571429,7,27
The Avett Brothers vs The Ocean,0.8571428571428571,1.0,0.1428571428571429,7,24
Lee Brice vs New Kids on the Block,0.8571428571428571,1.0,0.1428571428571429,7,24
Collective Soul vs The Bright Light Social Hour,0.8571428571428571,1.0,0.1428571428571429,7,25
The Avett Brothers vs Ice Cube,0.5714285714285714,0.7142857142857143,0.1428571428571429,7,28
Eric Johnson vs Otoboke Beaver,0.8571428571428571,1.0,0.1428571428571429,7,26
The Avett Brothers vs Ty Segall,0.8571428571428571,1.0,0.1428571428571429,7,25
Matchbox Twenty vs Jon Pardi,0.7857142857142857,0.9285714285714286,0.1428571428571429,14,55
Collective Soul vs Enrique Guzman,0.8571428571428571,1.0,0.1428571428571429,7,27
The Avett Brothers vs Blackberry Smoke,0.8571428571428571,1.0,0.1428571428571429,14,52
The Avett Brothers vs Herman's Hermits,0.8571428571428571,1.0,0.1428571428571429,7,24
The Avett Brothers vs Gary Allan,0.5714285714285714,0.7142857142857143,0.1428571428571429,7,27
The Avett Brothers vs Darlingside,0.8571428571428571,1.0,0.1428571428571429,7,28
Lee Brice vs Steve Byrne,0.8571428571428571,1.0,0.1428571428571429,7,28
Lee Brice vs Staind,0.5714285714285714,0.7142857142857143,0.1428571428571429,7,28
The Avett Brothers vs Islands,0.8571428571428571,1.0,0.1428571428571429,7,26
Collective Soul vs Joshua Radin,0.8571428571428571,1.0,0.1428571428571429,7,25
Eric Johnson vs Martin Barre,0.5714285714285714,0.7142857142857143,0.1428571428571429,7,26
The Avett Brothers vs Dying Wish,0.8571428571428571,1.0,0.1428571428571429,7,28
Eric Johnson vs Anthony Jeselnik,0.8571428571428571,1.0,0.1428571428571429,7,27
Collective Soul vs Saint Motel,0.8571428571428571,1.0,0.1428571428571429,7,24
Eric Johnson vs Meshell Ndegeocello,0.8571428571428571,1.0,0.1428571428571429,7,25
Eric Johnson vs CloZee,0.7857142857142857,0.9285714285714286,0.1428571428571429,14,56
The Avett Brothers vs Cody Jinks,0.5714285714285714,0.7142857142857143,0.1428571428571429,7,24
Eric Johnson vs Bruce Cockburn,0.42857142857142855,0.5714285714285714,0.14285714285714285,7,26
Collective Soul vs Parkway Drive,0.42857142857142855,0.5714285714285714,0.14285714285714285,7,27
Eric Johnson vs Drew Holcomb,0.42857142857142855,0.5714285714285714,0.14285714285714285,7,28
Collective Soul vs Trae Crowder,0.42857142857142855,0.5714285714285714,0.14285714285714285,7,28
Eric Johnson vs Melvins,0.42857142857142855,0.5714285714285714,0.14285714285714285,14,53
Collective Soul vs Nicotine Dolls,0.2857142857142857,0.42857142857142855,0.14285714285714285,7,26
Collective Soul vs The Head and the Heart,0.7142857142857143,0.8571428571428571,0.1428571428571428,14,56
Eric Johnson vs Gilberto Santa Rosa,0.7142857142857143,0.8571428571428571,0.1428571428571428,7,27
Eric Johnson vs Taking Back Sunday,0.7142857142857143,0.8571428571428571,0.1428571428571428,7,25
Collective Soul vs Spafford,0.7142857142857143,0.8571428571428571,0.1428571428571428,7,27
Collective Soul vs Boney M.,0.7142857142857143,0.8571428571428571,0.1428571428571428,7,28
The Avett Brothers vs Wednesday,0.7142857142857143,0.8571428571428571,0.1428571428571428,7,24
Collective Soul vs Ice Cube,0.7142857142857143,0.8571428571428571,0.1428571428571428,7,28
Lee Brice vs Alvvays,0.7142857142857143,0.8571428571428571,0.1428571428571428,7,28
Eric Johnson vs The Australian Pink Floyd Show,0.7142857142857143,0.8571428571428571,0.1428571428571428,14,55
Matchbox Twenty vs Ashnikko,0.7142857142857143,0.8571428571428571,0.1428571428571428,14,54
Matchbox Twenty vs Big Time Rush,0.7142857142857143,0.8571428571428571,0.1428571428571428,14,54
Collective Soul vs Arrival From Sweden: The Music of ABBA,0.7142857142857143,0.8571428571428571,0.1428571428571428,7,27
Lee Brice vs Waterparks,0.7142857142857143,0.8571428571428571,0.1428571428571428,7,24
The Avett Brothers vs Nicotine Dolls,0.7142857142857143,0.8571428571428571,0.1428571428571428,7,26
Eric Johnson vs Better Lovers,0.7142857142857143,0.8571428571428571,0.1428571428571428,7,24
Collective Soul vs Smokey Robinson,0.7142857142857143,0.8571428571428571,0.1428571428571428,7,25
Matchbox Twenty vs Tedeschi Trucks Band,0.6428571428571429,0.7857142857142857,0.1428571428571428,14,52
Gov't Mule vs Southside Johnny & The Asbury Jukes,0.7142857142857143,0.8571428571428571,0.1428571428571428,14,55
Lee Brice vs Old Dominion,0.7333333333333333,0.8666666666666667,0.13333333333333341,15,56
Matchbox Twenty vs Grupo Frontera,0.7333333333333333,0.8666666666666667,0.13333333333333341,15,56
Collective Soul vs Counting Crows,0.7333333333333333,0.8666666666666667,0.13333333333333341,15,56
Matchbox Twenty vs 3 Doors Down,0.8666666666666667,1.0,0.1333333333333333,15,57
Gov't Mule vs Rob Zombie,0.8666666666666667,1.0,0.1333333333333333,15,57
Gov't Mule vs Igorrr,0.5333333333333333,0.6666666666666666,0.1333333333333333,15,58
Matchbox Twenty vs Styx,0.8,0.9333333333333333,0.1333333333333333,15,57
Gov't Mule vs Riley Green,0.6,0.7333333333333333,0.1333333333333333,15,60
Lee Brice vs Mahalia,0.75,0.875,0.125,8,29
Lee Brice vs Michael W. Smith,0.875,1.0,0.125,8,28
Lee Brice vs Quicksand,0.625,0.75,0.125,8,32
Lee Brice vs Aidan Bissett,0.875,1.0,0.125,8,30
Collective Soul vs The SteelDrivers,0.625,0.75,0.125,8,29
Lee Brice vs Uada,0.75,0.875,0.125,8,28
Lee Brice vs Natalie Merchant,0.5,0.625,0.125,8,30
Lee Brice vs Armand Hammer,0.875,1.0,0.125,8,30
Lee Brice vs Chelsea Cutler,0.75,0.875,0.125,8,31
The Avett Brothers vs A Flock of Seagulls,0.875,1.0,0.125,8,28
Lee Brice vs Priscilla Block,0.875,1.0,0.125,8,31
Collective Soul vs Stayin' Alive (Tribute to The Bee Gees),0.5,0.625,0.125,8,30
Lee Brice vs Grand Ole Opry,0.875,1.0,0.125,32,126
Lee Brice vs Wednesday,0.875,1.0,0.125,8,30
Lee Brice vs Ernest,0.75,0.875,0.125,8,31
Collective Soul vs Cold War Kids,0.75,0.875,0.125,8,32
The Avett Brothers vs Collective Soul,0.625,0.75,0.125,8,32
Collective Soul vs Lucero,0.625,0.75,0.125,8,29
Lee Brice vs Juanes,0.75,0.875,0.125,8,30
Collective Soul vs Ryan Beatty,0.5,0.625,0.125,8,28
The Avett Brothers vs Claud,0.875,1.0,0.125,8,28
Collective Soul vs BabyJake,0.875,1.0,0.125,8,31
The Avett Brothers vs Joanne Shaw Taylor,0.875,1.0,0.125,8,29
Lee Brice vs Bone Thugs-N-Harmony,0.625,0.75,0.125,8,30
The Avett Brothers vs Crankdat,0.875,1.0,0.125,8,29
The Avett Brothers vs Bryce Vine,0.875,1.0,0.125,8,31
The Avett Brothers vs Violent Femmes,0.625,0.75,0.125,8,30
Collective Soul vs Hotel California - A Salute to the Eagles,0.75,0.875,0.125,8,29
Collective Soul vs The Righteous Brothers,0.375,0.5,0.125,8,29
The Avett Brothers vs Melissa Etheridge,0.625,0.75,0.125,16,64
Lee Brice vs Beth Hart,0.875,1.0,0.125,8,28
The Avett Brothers vs Celtic Thunder,0.625,0.75,0.125,8,32
Lee Brice vs Josh Ritter & The Royal City Band,0.625,0.75,0.125,8,32
Lee Brice vs Drew Holcomb & The Neighbors,0.75,0.875,0.125,8,30
Collective Soul vs Grentperez,0.75,0.875,0.125,8,32
The Avett Brothers vs LL Cool J,0.75,0.875,0.125,8,31
The Avett Brothers vs Greta Van Fleet,0.875,1.0,0.125,8,30
Collective Soul vs The Gaslight Anthem,0.5,0.625,0.125,8,28
The Avett Brothers vs The Righteous Brothers,0.75,0.875,0.125,8,29
Lee Brice vs Swans,0.5,0.625,0.125,8,32
The Avett Brothers vs Samara Joy,0.5,0.625,0.125,8,30
The Avett Brothers vs Adventure Club,0.875,1.0,0.125,8,31
Collective Soul vs Haken,0.75,0.875,0.125,8,30
Collective Soul vs Harms Way,0.75,0.875,0.125,8,32
Lee Brice vs Brandy Clark,0.875,1.0,0.125,8,29
The Avett Brothers vs KC and The Sunshine Band,0.5,0.625,0.125,8,28
Collective Soul vs Stick To Your Guns,0.875,1.0,0.125,8,30
Lee Brice vs Stranger In The Night,0.875,1.0,0.125,8,30
Lee Brice vs Legends in Concert,0.875,1.0,0.125,8,30
Lee Brice vs Billy Strings,0.75,0.875,0.125,16,62
The Avett Brothers vs Fast Times,0.75,0.875,0.125,8,30
Collective Soul vs Chris Tomlin,0.625,0.75,0.125,8,28
The Avett Brothers vs BoyWithUke,0.75,0.875,0.125,8,30
The Avett Brothers vs Lucero,0.625,0.75,0.125,8,29
The Avett Brothers vs The Milk Carton Kids,0.875,1.0,0.125,8,32
Lee Brice vs Cody Jinks,0.75,0.875,0.125,8,30
Collective Soul vs Ben Rector,0.25,0.375,0.125,8,28
Lee Brice vs The Bright Light Social Hour,0.75,0.875,0.125,8,31
Lee Brice vs Musiq Soulchild,0.75,0.875,0.125,8,29
Collective Soul vs Thundercat,0.375,0.5,0.125,8,31
The Avett Brothers vs LANY,0.75,0.875,0.125,8,30
Collective Soul vs The Moss,0.75,0.875,0.125,8,31
Eric Johnson vs Paul Brandt,0.75,0.875,0.125,8,30
The Avett Brothers vs blink-182,0.875,1.0,0.125,8,28
Eric Johnson vs Paul Thorn,0.125,0.25,0.125,8,31
Eric Johnson vs Skinny Puppy,0.875,1.0,0.125,8,32
Eric Johnson vs Gareth Emery,0.875,1.0,0.125,8,28
Collective Soul vs The Mission UK,0.5,0.625,0.125,8,32
Collective Soul vs Godsmack,0.5625,0.6875,0.125,16,61
Collective Soul vs Neffex,0.75,0.875,0.125,8,28
The Avett Brothers vs The National,0.75,0.875,0.125,8,31
Collective Soul vs Elvis Costello & The Imposters,0.75,0.875,0.125,8,31
Matchbox Twenty vs New Kids on the Block,0.625,0.75,0.125,8,28
The Avett Brothers vs Claudio Simonetti's Goblin,0.875,1.0,0.125,8,30
Collective Soul vs The Avett Brothers,0.625,0.75,0.125,8,32
