date,act,average_price,median_price,lowest_price,highest_price,alpha,beta,event_id
2023-07-15 19:00:00,The Avett Brothers,202.64285714285717,173.57142857142858,57.285714285714285,1564.571428571429,1.4095030486841702,13.20638556720446,0
2023-07-19 19:30:00,Matchbox Twenty,616.3571428571429,475.6428571428572,190.42857142857144,3484.3571428571427,0.8342390804420571,5.6173683645664045,1
2023-07-21 19:30:00,Matchbox Twenty,510.9285714285714,380.4285714285714,80.14285714285714,4118.5,0.9367066525906054,7.844355197436762,2
2023-07-16 19:00:00,Matchbox Twenty,222.42857142857144,165.92857142857142,41.92857142857143,3724.785714285714,0.9931876486082596,19.27145626205334,3
2023-07-30 19:30:00,Matchbox Twenty,224.28571428571428,168.92857142857142,35.785714285714285,3435.5714285714284,1.0461515126664935,17.8222355841077,4
2023-07-23 19:30:00,Matchbox Twenty,264.85714285714283,155.07142857142858,43.5,4597.142857142857,0.639154029318708,12.50918689455898,5
2023-07-22 19:30:00,Matchbox Twenty,523.3571428571429,334.92857142857144,105.71428571428572,5535.857142857143,0.6764441656677771,8.11860258692257,6
2023-07-15 19:30:00,Matchbox Twenty,378.8571428571428,245.0,55.92857142857143,6346.071428571428,0.7558186120300855,13.966344319311078,7
2023-07-27 19:30:00,Matchbox Twenty,268.1428571428572,181.42857142857144,42.642857142857146,4005.0,0.8061080528432958,13.358362018546044,8
2023-07-11 19:30:00,Matchbox Twenty,276.0,161.28571428571428,39.142857142857146,4276.571428571428,0.6485749685840573,10.954579867447492,9
2023-07-05 19:30:00,Matchbox Twenty,579.6428571428571,333.7142857142857,149.5,11718.42857142857,0.5644516468298557,14.616785646228529,10
2023-06-27 19:30:00,Matchbox Twenty,262.92857142857144,131.0,39.42857142857143,3739.071428571429,0.5367452787118934,8.34811305010962,11
2023-06-30 19:30:00,Matchbox Twenty,458.8571428571428,295.1428571428572,42.71428571428572,3415.928571428572,0.7204832792404267,5.119685423493722,12
2023-07-03 19:30:00,Matchbox Twenty,227.0,174.14285714285714,70.92857142857143,7564.357142857143,0.9571206019379658,44.9969334521161,13
2023-06-29 19:30:00,Matchbox Twenty,440.5,285.42857142857144,71.42857142857143,4489.285714285715,0.7164783324340686,7.859907357724077,14
2023-06-23 19:30:00,Matchbox Twenty,1650.0,1343.0,379.6428571428572,3373.5714285714284,0.4916730441986882,0.6670829663488526,15
2023-06-20 19:30:00,Matchbox Twenty,246.57142857142856,159.57142857142858,41.92857142857143,4133.071428571428,0.7389794709361669,14.034419543842152,16
2023-08-05 19:30:00,Matchbox Twenty,661.2142857142857,302.07142857142856,69.07142857142857,16067.92857142857,0.5335810463144609,13.883019324939848,17
2023-08-06 19:30:00,Matchbox Twenty,237.92857142857144,158.35714285714286,32.285714285714285,5146.071428571428,0.8189846190108672,19.546963914801225,18
2023-07-14 19:30:00,Matchbox Twenty,231.78571428571428,141.21428571428572,54.42857142857143,10776.857142857143,0.6421677043848357,38.18117614419561,19
2023-08-01 19:30:00,Matchbox Twenty,204.78571428571428,144.92857142857142,37.42857142857143,3718.642857142857,0.8775488963301524,18.42515595649403,20
2023-08-04 19:30:00,Matchbox Twenty,1102.428571428571,844.7142857142857,393.57142857142856,3604.785714285714,0.6592348875177941,2.327184181218348,21
2023-07-02 19:30:00,Matchbox Twenty,223.0,157.42857142857142,36.85714285714285,3518.0,0.8807114441311652,15.58987679116295,22
2023-07-26 19:30:00,Matchbox Twenty,269.7142857142857,211.2142857142857,40.07142857142857,3690.714285714286,1.1858202408790366,17.665217610158813,23
2023-07-08 19:30:00,Matchbox Twenty,355.1428571428572,172.42857142857142,40.285714285714285,7822.142857142857,0.5548992021310684,13.159721595366973,24
2023-08-02 19:30:00,Matchbox Twenty,284.92857142857144,182.2142857142857,54.142857142857146,3611.0,0.6950216410074104,10.016614891213266,25
2023-07-12 19:30:00,Matchbox Twenty,271.35714285714283,180.64285714285717,38.85714285714285,2967.714285714286,0.771614561129815,8.948595412623469,26
2023-06-21 19:30:00,Matchbox Twenty,463.5,127.14285714285714,97.42857142857144,3624.285714285714,0.3566675341789995,3.0795892790155923,27
2023-07-07 19:30:00,Matchbox Twenty,335.0,225.57142857142856,37.642857142857146,6492.642857142857,0.8530460837290812,17.664795517663443,28
2023-07-18 19:30:00,Matchbox Twenty,309.6428571428572,169.71428571428572,54.785714285714285,3798.928571428572,0.5698411545578245,7.801777017979182,29
2023-07-21 20:00:00,Collective Soul,92.0,62.142857142857146,60.35714285714285,179.64285714285714,0.3426926052201817,0.949173423487952,30
2023-07-12 20:00:00,The Avett Brothers,227.64285714285717,213.7142857142857,137.0,368.57142857142856,0.7319982916528258,1.138087178432644,31
2023-12-15 20:00:00,Lee Brice,65.35714285714286,65.35714285714286,65.35714285714286,65.35714285714286,0.0,0.0,32
2023-07-16 18:30:00,The Avett Brothers,219.92857142857144,229.8571428571429,119.57142857142856,321.2142857142857,0.3162825743655864,0.3192090323490403,33
2023-09-19 20:00:00,Eric Johnson,80.92857142857143,71.42857142857143,55.42857142857143,107.07142857142856,0.3403217587537308,0.3489012988903794,34
2023-09-14 20:00:00,Eric Johnson,93.14285714285714,78.21428571428571,32.5,275.0,0.8435498305275838,2.529655911099209,35
2023-09-28 20:00:00,Eric Johnson,374.7142857142857,97.35714285714286,65.28571428571429,8055.142857142857,0.3688919692693599,9.156389170742658,36
2023-09-16 20:00:00,Eric Johnson,83.57142857142857,81.92857142857143,68.14285714285714,152.78571428571428,2.1107319757842657,9.4689781691433,37
